name,price,status,shipping,free_returns,items_sold
Dog Man: From the Creator of Captain Underpants (Dog Man #1) - Hardcover - GOOD,430,Pre-Owned,0,True,2934
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants ( - VERY GOOD,477,Pre-Owned,0,True,220
2x Seresto Flea & Tick Collar for Large Dogs 18lbs 8 Months Protection New USA,2899,Brand New,0,False,57
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (D - GOOD,432,Pre-Owned,0,True,2772
Dog Man: Grime and Punishment: From the Creator of Captain Underpants (Do - GOOD,483,Pre-Owned,0,True,1733
Cookie Custom Dog Collar Adjustable Blue Oreo,8752295,Brand New,450,False,
Yeti Boomer 4 Dog Bowl Set of Two,5000,Pre-Owned,500,False,
LARGE Elk/Deer Antler Premium Dog Chew (1pc) **OREGON ANTLER WORKS**,1616,Brand New,0,True,5704
18pcs Dog Toys Puppy Toys Rope Toys Braided Rope Chew Play Toys Teething Toys,1699,Brand New,0,True,542
"6"" inch EXTRA THICK BULLY STICKS natural dog chews treats USDA & FDA approved",199914499,Brand New,0,True,146
Personalized Reflective Cat Dog Collar with Name Plate Custom Engraved for dogs,8881138,Brand New,0,False,
Dog Coat Puffer Coat Waterproof Dog Coat Winter Warm Puffer Jacket S-7XL,6761176,Brand New,0,False,19
Personalized Dog Collar Reflective Nylon Embroidered Custom Name Phone Number ID,5391028,Brand New,0,False,
Dog harness dress STARS AND STRIPES with matching hair bow new  free shipping,20992399,New (Other),0,False,
Cat Kid Comic Club: From the Creator of Dog Man - Hardcover - VERY GOOD,428,Pre-Owned,0,True,548
No Pull Dog Pet Harness Adjustable Control Vest Dogs Reflective XS S M Large XXL,7991399,Brand New,0,True,
Dog Seat Cover Hammock for Back Seat Durable Waterproof Car Truck + Pet Seatbelt,3588,Brand New,0,False,791
Snoopy Heart Dog Collar,1994,Brand New,0,False,
Country Brook Petz® Step-In Dog Harness - Camouflage Collection,1497,Brand New,0,False,
"Dog , Cat Brush for Shedding Cat & Dog Grooming Self Cleaning",799,Brand New,0,False,760
"Dogs Waterproof Jacket, Lightweight Dog Raincoat, Windproof Snow-Proof Dog Vest",16992699,Brand New,0,False,
2024 Solar Ultrasonic Animal Repellent Dog Skunk Deer Raccoon For Garden Yard,1893,Brand New,0,True,1794
Shop on eBay,2000,Brand New,0,False,
Shop on eBay,2000,Brand New,0,False,
AI Artificial Insemination Dog Breeding Kit Artificially Inseminate Dog Kit,1177,Brand New,655,True,
Dog Wheelchair - For Large Dogs 70-180 lbs - By Walkin' Wheels,59999,Brand New,0,True,
Pacific Stream Grain-Free with Smoke-Flavored Salmon Dry Dog Food 28 lb,4500,Brand New,0,False,
Pet Dog Bed,393711830,Brand New,228,False,
"Dog , Cat Brush for Shedding Cat & Dog Grooming Self Cleaning",799,Brand New,0,False,760
Service Dog Vest with ID Tag and 50 ADA Information Cards X Small to XX Large,23603079,Brand New,0,True,
50 Pack Waist Disposable Dog Diapers Male Wraps Belly Bands Pet Soft All Sizes,20792599,Brand New,100,True,61
2''Wide Spiked Studded Dog Collar PU Leather Heavy Duty Adjustable for Pitbull,18992699,Brand New,0,False,70
Dog Man Unleashed: A Graphic Novel (Dog Man #2): From the Creator of Captain...,485,Pre-Owned,0,True,813
"2"" 3-Ply Nylon Heavy Duty Dog Collar for Pit Bull & Large Breeds",24002600,Brand New,0,False,130
The Boy Who Was Raised as a Dog: And Other Stories from a Child Psychiatr - GOOD,395,Pre-Owned,0,True,210
Dog Silencer® MAX No Shock Dog Trainer Ultrasonic Anti-Bark Up To 300 ft,8995,Brand New,745,False,
Japanese Foo Dog Samurai Helmet: Boy's Day Decorative Object. Extra Large/ Heavy,33000,False,0,False,
USED Dog Wheelchair for Back Legs Adjustable Dog Wheelchair Extra Large Aluminum,1018626718,Pre-Owned,0,False,
USED Adjustable Small Dog Wheelchair for Back Legs Dog Wheelchair Aluminum,5900,Pre-Owned,0,False,
USED Adjustable Dog Wheelchair Mobility Aid Trolley Pet Legs Rehabilitation Trai,5950,Pre-Owned,0,False,
Dog Harness More Comfort Puppy Cat Soft Mesh Small Medium Large XXS XS S M L XL,1119,Brand New,0,False,
Pet Dog Puppy Tie Out Cable for Large Dogs up to 60 Lbs 20-ft outdoor blue,999,Brand New,0,False,41
